id,manufacturer,make,year,mvg_size,jis_code
1,"ALFA ROMEO","155 - TWIN SPARK 16V","1996 - 1999",DIN74,57412
2,"ALFA ROMEO","146 - VG","1997 - 2000",DIN74,57412
3,"ALFA ROMEO","GTV - 2.0L V6 TURBO","1998 - 2006",DIN74,57412
4,"ALFA ROMEO",SPYDER,"1998 - 2006",DIN74,57412
5,"ALFA ROMEO",MiTo,"2010 - 2018",NS40ZL,40B20L
6,"ALFA ROMEO",Giulietta,"2010 - 2018",DIN55,55559
7,"ALFA ROMEO",4C,"2012 - 2018",DIN74,57412
8,ACURA,INTEGRA,"1986 - 2001",NS50,65D23R
9,ACURA,NSX,"1991 - 2005",NS50,65D23R
10,ACURA,"TL/TLX 3.2 ","1996 - 2018",NS50L,65D23L
11,ACURA,"ZDX 3.7 Sports Coupe","2010 - 2013",NS50L,65D23L
12,ACURA,MDX,"2000 - 2003",NX110L,80D26L
13,ACURA,RDX,"2007 - 2018",NX110L,80D26L
14,AUDI,A1,"2015 - 2018",DIN55,"If the vehicle  
is equipped  
with Auto  
start/stop  
technology,  
the  
recommended  
battery is AGM  
or EFB.
"
15,AUDI,A3,"2006 - 2018",DIN55,"If the vehicle  
is equipped  
with Auto  
start/stop  
technology,  
the  
recommended  
battery is AGM  
or EFB.
"
16,AUDI,A4,"1996 - 2018",DIN55,"If the vehicle  
is equipped  
with Auto  
start/stop  
technology,  
the  
recommended  
battery is AGM  
or EFB.
"
17,AUDI,A6,"1995 - 2018",DIN100,"If the vehicle  
is equipped  
with Auto  
start/stop  
technology,  
the  
recommended  
battery is AGM  
or EFB.
"
18,AUDI,A8,"1997 - 2018",DIN110,"If the vehicle  
is equipped  
with Auto  
start/stop  
technology,  
the  
recommended  
battery is AGM  
or EFB.
"
19,AUDI,TT,"2000 - 2018",DIN55,"If the vehicle  
is equipped  
with Auto  
start/stop  
technology,  
the  
recommended  
battery is AGM  
or EFB.
"
20,AUDI,Q1,"2016 - 2018",DIN55,"If the vehicle  
is equipped  
with Auto  
start/stop  
technology,  
the  
recommended  
battery is AGM  
or EFB.
"
21,AUDI,Q3,"2015 - 2018",DIN55,"If the vehicle  
is equipped  
with Auto  
start/stop  
technology,  
the  
recommended  
battery is AGM  
or EFB.
"
22,AUDI,Q5,"2009 - 2018",DIN77,"If the vehicle  
is equipped  
with Auto  
start/stop  
technology,  
the  
recommended  
battery is AGM  
or EFB.
"
23,AUDI,Q7,"2007 - 2018",DIN110,"If the vehicle  
is equipped  
with Auto  
start/stop  
technology,  
the  
recommended  
battery is AGM  
or EFB.
"
24,BENTLEY,ARNAGE,"2000 - 2009",NS70L,65D26L
25,BENTLEY,AZURE,"1995 - 2009",NS70L,65D26L
26,BENTLEY,"Continental, Coupe / Cabriolet 4.0 V8","1985 - 2019",DIN55,"55559 (190ht)"
27,BENTLEY,"CONTINENTAL GT/GTC 6.0 W12","1985 - 2019",DIN74,"57412 (190ht)"
28,BENTLEY,"CONTINENTAL FLYING SPUR","2005 - 2019",DIN55,"55559 (190ht)"
29,BENTLEY,MULSANNE,"2010 - 2019",DIN55,"55559 (190ht)"
30,BENTLEY,BENTAYGA,"2015 - 2019",DIN74,"57412 (190ht) EFB"
31,BMW,"316i / 320i / 325i / 328i ","1991 - 2018",DIN74,"Battery Size  
still depends  
on application, 
options and  
accessories so  
please confirm  
actual size  
before replacing. 
If the vehicle is  
equipped with  
Auto start/stop  
technology, the  
recommended  
battery is AGM  
or EFB.
"
32,BMW,"1 SERIES","2004 - 2018",DIN44,"Battery Size  
still depends  
on application, 
options and  
accessories so  
please confirm  
actual size  
before replacing. 
If the vehicle is  
equipped with  
Auto start/stop  
technology, the  
recommended  
battery is AGM  
or EFB.
"
33,BMW,"3 SERIES","1980 - 2018",DIN74,"Battery Size  
still depends  
on application, 
options and  
accessories so  
please confirm  
actual size  
before replacing. 
If the vehicle is  
equipped with  
Auto start/stop  
technology, the  
recommended  
battery is AGM  
or EFB.
"
34,BMW,"5 SERIES","2000 - 2018",DIN55,"Battery Size  
still depends  
on application, 
options and  
accessories so  
please confirm  
actual size  
before replacing. 
If the vehicle is  
equipped with  
Auto start/stop  
technology, the  
recommended  
battery is AGM  
or EFB.
"
35,BMW,"6 SERIES","2004 - 2018",DIN110,"Battery Size  
still depends  
on application, 
options and  
accessories so  
please confirm  
actual size  
before replacing. 
If the vehicle is  
equipped with  
Auto start/stop  
technology, the  
recommended  
battery is AGM  
or EFB.
"
36,BMW,"7 SERIES","1980 - 2018",DIN110,"Battery Size  
still depends  
on application, 
options and  
accessories so  
please confirm  
actual size  
before replacing. 
If the vehicle is  
equipped with  
Auto start/stop  
technology, the  
recommended  
battery is AGM  
or EFB.
"
37,BMW,M6,"2006 - 2010",DIN110,"Battery Size  
still depends  
on application, 
options and  
accessories so  
please confirm  
actual size  
before replacing. 
If the vehicle is  
equipped with  
Auto start/stop  
technology, the  
recommended  
battery is AGM  
or EFB.
"
38,BMW,523i,"1996 - 2017",DIN110,"Battery Size  
still depends  
on application, 
options and  
accessories so  
please confirm  
actual size  
before replacing. 
If the vehicle is  
equipped with  
Auto start/stop  
technology, the  
recommended  
battery is AGM  
or EFB.
"
39,BMW,"520 / 523 / 525 / 530","2017 - 2019",DIN77,"Battery Size  
still depends  
on application, 
options and  
accessories so  
please confirm  
actual size  
before replacing. 
If the vehicle is  
equipped with  
Auto start/stop  
technology, the  
recommended  
battery is AGM  
or EFB.
"
